"deff_id","deff_name"
"1","Anaesthesia"
"2","Cytoxicity"
"3","Germination"
"4","Growth"
"5","Growth (biomass)"
"6","Growth (nb_leaves)"
"7","Growth inhibition"
"8","Growth inhibition (biomass)"
"9","Growth inhibition (nb_leaves)"
"10","Growth rate inhibition"
"11","Growth rate inhibition (biomass)"
"12","Growth rate inhibition (nb_leaves)"
"13","Hatchability"
"14","Luminescence inhibition"
"15","Mobility inhibition"
"16","Mortality"
"17","Nitrification inhibition"
"18","Pulse rate"
"19","Reproduction"
"20","Respiration inhibition"
"21","Sex ratio"
"22","Other"
