id,id_new,organisation_name_en,city,country_old,acronym,country
1,1,"Environmental Institute, s.r.o.",Koš,SK,EI,199
20,2,National Institute For Industrial Risks And The Environment,Verneuil-en-Halatte,FR,INERIS,74
21,3,Consejo Superior De Investigaciones Cientificas,Barcelona,ES,CSIC,205
25,4,Water Research Institute,Bratislava,SK,WRI,199
27,5,The Environment Agency NLS Centre For Analytical Research & Development (CARD),"Furnace, Llanelli, Carmarthenshire, Wales",GB,UKEA NLS,231
29,6,Fraunhofer Institute for Molecular Biology and Applied Ecology,Schmallenberg,DE,Fraunhofer IME,81
31,7,Association of Rhine Water Works,Nieuwegein,NL,RIWA,156
35,8,Water Institute of Northern Region,Matosinhos,PT,IAREN,178
36,9,Federal Environment Agency,Vienna,AT,UBA-A,15
37,10,National Institute for Research on Earth and Environmental Sciences,Orléans Cedex 2,FR,BRGM,74
38,11,IVL Swedish Environmental Research Institute Ltd.,Göteborg,SE,IVL,211
41,12,Federal Environment Agency,Berlin,DE,UBA-DE,81
42,13,Jozef Stefan Institute,Ljubljana,SI,JSI,200
43,14,"European Commission Joint Research Centre, Institute for Environment and Sustainability",Ispra,IT,JRC-IES,109
53,15,Centre for Ecology & Hydrology,Wallingford,GB,CEH,231
54,16,Swedish University of Agricultural Sciences,Uppsala,SE,SLU,211
55,17,Swiss Federal Institute of Aquatic Science and Technology,Dübendorf,CH,EAWAG,212
61,18,Finnish Environment Institute,Helsinki,FI,SYKE,73
63,19,Rijkswaterstaat Centre of Water Management,Lelystad,NL,RWS,156
64,20,Helmholtz Centre for Environmental Research,Leipzig,DE,UFZ,81
67,21,French Research Institute for Exploitation of the Sea,Plouzane,FR,IFREMER,74
69,22,Water Research Institute,Brugherio,IT,CNR-IRSA,109
70,23,Slovak Hydrometeorological Institute,Bratislava,SK,SHMU,199
81,24,Agence de L’ Eau Seine Normandie,Honfleur,FR,AESN,74
84,25,International Commission for the Protection of the Danube River,Vienna,AT,ICPDR,15
88,26,"Umeå University, Department of Analytical Chemistry",Umeå,SE,,211
271,27,SWECO Environment,Stockholm,SE,SWECO,211
322,28,"Department of Chemistry and CESAM (Centre for Environmental and Marine Studies), University of Aveiro",Aveiro,PT,,178
323,29,WSP,,,,
324,30,WML,,,,
326,31,University of Athens,Athens,GR,,84
327,32,Waterschap Aa en Maas,'s-Hertogenbosch,NL,,156
328,33,Waterschap De Dommel,Boxtel,NL,,156
329,34,Hoogheemraadschap De Stichtse Rijnlanden,Houten,NL,,156
330,35,Hoogheemraadschap Hollands Noorderkwartier,Heerhugowaard,NL,,156
331,36,Hoogheemraadschap Delfland,Delft,NL,,156
332,37,Hoogheemraadschap Rijnland,Leiden,NL,,156
333,38,Hoogheemraadschap van Schieland en de Krimpenerwaard,Rotterdam,NL,,156
336,39,Waterschap Rijn en IJssel,,NL,,156
337,40,Waterschap Roer en Overmaas,,NL,,156
340,41,Wetterskip Fryslân,,NL,,156
341,42,Waterschap Brabantse Delta,,NL,,156
343,43,Waterschap Hollandse Delta,,NL,,156
344,44,Waterschap Hunze en Aa's,,NL,,156
345,45,Waterschap Noorderzijlvest,,NL,,156
348,46,Waterschap Rivierenland,,NL,,156
349,47,Waterschap Vallei en Veluwe,,NL,,156
