"dprs_id","dprs_name","dprs_order"
"1","Aquaculture","0"
"15","Artificial recharge of the groundwater body","0"
"17","Associated aquatic ecosystems","0"
"2","Dam construction","0"
"3","Direct discharges from sewage treatment works and ","0"
"6","Directly impacted by leachate from landfill dispos","0"
"13","Downstream river monitoring station","0"
"5","Dredged spoil or waste disposal ground","0"
"8","Fishing","0"
"16","Main infrastructures affecting the dynamics of the","0"
"7","Mariculture","0"
"9","Marina","0"
"4","Oil or gas extraction","0"
"10","Port facilities","0"
"14","Water abstracted from groundwater body","0"
"18","Other","1"
