"id","sus_id","country","country_other","station_name","national_name","short_sample_code","sample_code","provider_code","code_ec_wise","code_ec_other","code_other","east_west","longitude_d","longitude_m","longitude_s","longitude_decimal","north_south","latitude_d","latitude_m","latitude_s","latitude_decimal","dpc_id","altitude","specific_locations","matrix","matrix_other","compound","dcod_id","dic_id","concentration_value","unit_extra","tier","sampling_technique","sampling_date","sampling_date_y","sampling_date_m","sampling_date_d","sampling_date_t","sampling_duration_day","sampling_duration_hour","id_method","id_data","description","remark","remark_add","show_date","dtod_id","dtod_other","agg_uncertainty","dmm_id","agg_max","agg_min","agg_number","agg_deviation","dtl_id","dtl_other","sampling_date1","sampling_date1_y","sampling_date1_m","sampling_date1_d","sampling_date1_t","analysis_date_y","analysis_date_m","analysis_date_d","dst_id","dst_other","dtos_id","dplu_id","noexport","list_id","u_jds4","u_ufz","u_lptc","u_nl","u_connect","u_preempt","u_dnieper","u_6rbmp","u_eu4emblas","u_parc_pfas","u_promisces"
"99","00000214","SK",,"Tisa - Malé Trakany","T1PV",,,,,,,"0",,,,,"0",,,,,"0",,,"3",,"256","1","3","0",,"0","0","2004-01-10 00:00:00","2004","01","10","00:00:00",,,"3","1",,,,"0","0",,,"0",,,,,"0",,"0000-00-00 00:00:00","0000","00","00","00:00:00","0000","00","00","0",,"0",,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","00000214","SK",,"Tisa - Malé Trakany","T1PV",,,,,,,"0",,,,,"0",,,,,"0",,,"3",,"256","1","3","0",,"0","0","2003-01-07 00:00:00","2003","01","07","00:00:00",,,"2","1",,,,"0","0",,,"0",,,,,"0",,"0000-00-00 00:00:00","0000","00","00","00:00:00","0000","00","00","0",,"0",,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"97","00000214","SK",,"Tisa - Malé Trakany","T1PV",,,,,,,"0",,,,,"0",,,,,"0",,,"3",,"256","1","3","0",,"0","0","2003-01-07 00:00:00","2003","01","07","00:00:00",,,"3","1",,,,"0","0",,,"0",,,,,"0",,"0000-00-00 00:00:00","0000","00","00","00:00:00","0000","00","00","0",,"0",,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"96","00000214","SK",,"Slaná - ústie","S4PV",,,,,,,"0",,,,,"0",,,,,"0",,,"3",,"256","1","3","0",,"0","0","2004-01-10 00:00:00","2004","01","10","00:00:00",,,"3","1",,,,"0","0",,,"0",,,,,"0",,"0000-00-00 00:00:00","0000","00","00","00:00:00","0000","00","00","0",,"0",,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"95","00000214","SK",,"pod SMZ Jelšava","S2PV",,,,,,,"0",,,,,"0",,,,,"0",,,"3",,"256","1","3","0",,"0","0","2003-01-07 00:00:00","2003","01","07","00:00:00",,,"2","1",,,,"0","0",,,"0",,,,,"0",,"0000-00-00 00:00:00","0000","00","00","00:00:00","0000","00","00","0",,"0",,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"94","00000214","SK",,"pod SMZ Jelšava","S2PV",,,,,,,"0",,,,,"0",,,,,"0",,,"3",,"256","1","3","0",,"0","0","2003-01-07 00:00:00","2003","01","07","00:00:00",,,"3","1",,,,"0","0",,,"0",,,,,"0",,"0000-00-00 00:00:00","0000","00","00","00:00:00","0000","00","00","0",,"0",,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"93","00000214","SK",,"Poprad-Veľká Lomnica","P5PV",,,,,,,"0",,,,,"0",,,,,"0",,,"3",,"256","1","3","0",,"0","0","2003-01-07 00:00:00","2003","01","07","00:00:00",,,"2","1",,,,"0","0",,,"0",,,,,"0",,"0000-00-00 00:00:00","0000","00","00","00:00:00","0000","00","00","0",,"0",,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"92","00000214","SK",,"Poprad-Veľká Lomnica","P5PV",,,,,,,"0",,,,,"0",,,,,"0",,,"3",,"256","1","3","0",,"0","0","2003-01-07 00:00:00","2003","01","07","00:00:00",,,"3","1",,,,"0","0",,,"0",,,,,"0",,"0000-00-00 00:00:00","0000","00","00","00:00:00","0000","00","00","0",,"0",,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"91","00000214","SK",,"Poprad-Veľká Lomnica","P5PV",,,,,,,"0",,,,,"0",,,,,"0",,,"3",,"256","1","3","0",,"0","0","2004-01-10 00:00:00","2004","01","10","00:00:00",,,"3","1",,,,"0","0",,,"0",,,,,"0",,"0000-00-00 00:00:00","0000","00","00","00:00:00","0000","00","00","0",,"0",,"0","0","0","0","0","0","0","0","0","0","0","0","0"
"90","00000214","SK",,"pod Plastikou Nitra","N10PV",,,,,,,"0",,,,,"0",,,,,"0",,,"3",,"256","1","3","0",,"0","0","2003-01-07 00:00:00","2003","01","07","00:00:00",,,"2","1",,,,"0","0",,,"0",,,,,"0",,"0000-00-00 00:00:00","0000","00","00","00:00:00","0000","00","00","0",,"0",,"0","0","0","0","0","0","0","0","0","0","0","0","0"
