"country","country_other","station_name","national_name","short_sample_code","sample_code","provider_code","code_ec_wise","code_ec_other","code_other","longitude_decimal","latitude_decimal","specific_locations"
"SK","","Topľa - below WWTP Bardejov","B8PV","","","","","","","","",\N
"SK","","Topľa - pod WWTP Bardejov","B8PV","","","","","","","","",\N
"SK","","Topľa-pod Vranovom","B15PV","","","","","","","","",\N
"SK","","VN Domaša","B9PV","","","","","","","","",\N
"SK","","Ondava-Nižný Hrušov","B16PV","","","","","","","","",\N
"SK","","Laborec - pod Humenným","B10PV","","","","","","","","",\N
"SK","","Laborec-Petrovce","B17PV","","","","","","","","",\N
"SK","","Bracovce - Ondava, Ondava (rkm 21.5), Bodrog (SK)","B12PV","","","","","","","","",\N
"SK","","ústie Latorica-Bodrog","B13PV","","","","","","","","",\N
"SK","","Bodrog - Streda Nad Bodrogom, Bodrog (rkm 6), Bodrog (SK)","B2PV","","","","","","","","",\N
"SK","","Trnávka pod Trebišovom","B14PV","","","","","","","","",\N
"SK","","Trnávka-Zemplínske hradište","B18PV","","","","","","","","",\N
"SK","","Chotárny Kanál - Jánošikovo, Malý Dunaj (rkm 11), Malý Dunaj (SK)","MD1PV","","","","","","","","",\N
"SK","","pod VaK-ÚČOV Vrakuňa","MD3PV","","","","","","","","",\N
"SK","","pod Slovnaftom a.s., Bratislava","D2PV","","","","","","","","",\N
"SK","","Dunaj - Štúrovo, Danube (rkm 1718.8), Danube (SK)","D4PV","","","","","","","","",\N
"SK","","Malý Dunaj - ústie","MD4PV","","","","","","","","",\N
"SK","","M. Dunaj - Kolárovo","MD4PV","","","","","","","","",\N
"SK","","M. Dunaj - Čierna Voda","MD5PV","","","","","","","","",\N
"SK","","pod Akutrade B.Štiavnica","I5PV","","","","","","","","",\N
"SK","","pod Novou Baňou","R10PV","","","","","","","","",\N
"SK","","Hron-Šalková","R19PV","","","","","","","","",\N
"SK","","pod WWTP Levice","R11PV","","","","","","","","",\N
"SK","","Zvolen - Bučina","R14PV","","","","","","","","",\N
"SK","","Zvolen - Bučina","R13PV","","","","","","","","",\N
"SK","","Slatina- ústie","R20PV","","","","","","","","",\N
"SK","","Zolná - ústie","R21PV","","","","","","","","",\N
"SK","","Hron-Kamenica","R2PV","","","","","","","","",\N
"SK","","Hron - nad Biotikou","R18PV","","","","","","","","",\N
"SK","","pod Spišskou Novou Vsou","H6PV","","","","","","","","",\N
"SK","","ústie - Hnilec","H7PV","","","","","","","","",\N
"SK","","Obišovce","H10PV","","","","","","","","",\N
"SK","","Rudniansky p.-ústie","H11PV","","","","","","","","",\N
"SK","","Torysa-Vajkovce","H10PV","","","","","","","","",\N
"SK","","pod Vitrum Krompachy","H12PV","","","","","","","","",\N
"SK","","Hornád-Hidasnemeti","H13PV","","","","","","","","",\N
"SK","","Sokoliansky p.","H14PV","","","","","","","","",\N
"SK","","Torysa-Košické Olšany","H15PV","","","","","","","","",\N
"SK","","pod Slovglassom Poltár","I6PV","","","","","","","","",\N
"SK","","Štiavnica - Tupá","I10PV","","","","","","","","",\N
"SK","","Ipeľ - Salka","I1PV","","","","","","","","",\N
"SK","","pod WWTP Lučenec","I7PV","","","","","","","","",\N
"SK","","Veľké Zlievce","I8PV","","","","","","","","",\N
"SK","","Belina-Filakovo, Belina (rkm 1.6), Ipel (SK)","I11PV","","","","","","","","",\N
"SK","","Štiavnica - ústie","I3PV","","","","","","","","",\N
"SK","","Krtíš - ústie","I9PV","","","","","","","","",\N
"SK","","pod Senicou","M10PV","","","","","","","","",\N
"SK","","Myjava - pod WWTP","M7PV","","","","","","","","",\N
"SK","","Kúty","M1PV","","","","","","","","",\N
"SK","","pod Gajarmi","M8PV","","","","","","","","",\N
"SK","","Morava-Devínska Nová Ves","M2PV","","","","","","","","",\N
"SK","","pod WWTP Brezová p. Bradlom","M6PV","","","","","","","","",\N
"SK","","pod WWTP Topoľčany","N12PV","","","","","","","","",\N
"SK","","Nitra-Chalmová","N2PV","","","","","","","","",\N
"SK","","pod WWTP Nitra","N13PV","","","","","","","","",\N
"SK","","Žitava-Dolný Oháj","N17PV","","","","","","","","",\N
"SK","","pod Novými Zámkami","N14PV","","","","","","","","",\N
"SK","","Nitra-Komoča","N1PV","","","","","","","","",\N
"SK","","pod WWTP Zlaté Moravce","N15PV","","","","","","","","",\N
"SK","","Bebrava Pod Ústím Radiše, Bebrava (rkm 9), Nitra (SK)","N16PV","","","","","","","","",\N
"SK","","pod Plastikou Nitra","N10PV","","","","","","","","",\N
"SK","","Poprad-Veľká Lomnica","P5PV","","","","","","","","",\N
"SK","","pod SMZ Jelšava","S2PV","","","","","","","","",\N
"SK","","Slaná - ústie","S4PV","","","","","","","","",\N
"SK","","Tisa - Malé Trakany","T1PV","","","","","","","","",\N
"SK","","Oravská priehrada","V8PV","","","","","","","","",\N
"SK","","Kraľovany","V18PV","","","","","","","","",\N
"SK","","nad Glacierom Tribometal, a.s.","V9PV","","","","","","","","",\N
"SK","","OTF Nižná nad Oravou","V11PV","","","","","","","","",\N
"SK","","Kysuca - ústie","V12PV","","","","","","","","",\N
"SK","","Liptovská Mara","V13PV","","","","","","","","",\N
"SK","","VN Hričov","V3PV","","","","","","","","",\N
"SK","","Váh - pod WWTP N.M/Váhom","V14PV","","","","","","","","",\N
"SK","","VN Kráľová","V4PV","","","","","","","","",\N
"SK","","Váh - pod WWTP Hlohovec","V15PV","","","","","","","","",\N
"SK","","Trnávka - Modranka","V20PV","","","","","","","","",\N
"SK","","Váh - Kolárovo","V16PV","","","","","","","","",\N
"SK","","Dudváh - Mouth, Dolný Dudváh (rkm 1.5), Váh (SK)","V19PV","","","","","","","","",\N
"SK","","pod WWTP Galanta","V 17PV","","","","","","","","",\N
"SK","","Váh-Komárno","V7PV","","","","","","","","",\N
"IT","","Nerviano (Mi)","","","","","","","","8.97305555555556","45.5519444444444",\N
"IT","","Pero (Mi)","","","","","","","","9.04194444444444","45.5188888888889",\N
"IT","","Lodi","","","","","","","","9.38888888888889","45.2966666666667",\N
"IT","","Bresso, Seveso, Po (IT)","","","","","","","","9.18222222222222","45.5380555555556",\N
"IT","","Ferrara, Po, Po (IT)","","","","","","","","11.605","45.8891666666667",\N
"IT","","Lambrinia","","","","","","","","9.54027777777778","45.1547222222222",\N
"IT","","Bosco/Monticelli Pavia, Po, Po (IT)","","","","","","","","9.53194444444444","45.1222222222222",\N
"IT","","Ponte della Becca","","","","","","","","9.22888888888889","45.1444444444444",\N
"IT","","Torre d'Isola","","","","","","","","9.07444444444444","45.2127777777778",\N
"IT","","San Mauro Torinese","","","","","","","","7.76527777777778","45.1052777777778",\N
"IT","","Torino","","","","","","","","7.72194444444444","45.0966666666667",\N
"IT","","Torino, Centro","","","","","","","","7.69305555555556","45.0608333333333",\N
"IT","","Chivasso, Po, Po (IT)","","","","","","","","7.88555555555556","45.1825",\N
"IT","","Saluggia","","","","","","","","8.00361111111111","45.2291666666667",\N
"IT","","Vercelli","","","","","","","","8.44222222222222","45.3308333333333",\N
"IT","","Casale Monferrato, Po, Po (IT)","","","","","","","","8.46722222222222","45.1466666666667",\N
"IT","","Rivarone","","","","","","","","8.71944444444444","44.9775",\N
"IT","","Portalbera","","","","","","","","9.34027777777778","45.1005555555556",\N
"IT","","San Zenone al Po","","","","","","","","9.36305555555555","45.1083333333333",\N
"IT","","Lambrinia","","","","","","","","9.54027777777778","45.1544444444444",\N
"IT","","Pizzighettone","","","","","","","","9.78361111111111","45.1783333333333",\N
"IT","","Marcaria","","","","","","","","10.5388888888889","45.1125",\N
"IT","","Governolo, Po, Po (IT)","","","","","","","","10.9594444444444","45.0680555555556",\N
"IT","","Governolo, Mincio, Po (IT)","","","","","","","","10.9527777777778","45.0877777777778",\N
"IT","","Quistello","","","","","","","","10.9788888888889","45.0088888888889",\N
"IT","","San Benedetto al Po","","","","","","","","10.9086111111111","45.06",\N
"IT","","Bosco/Monticelli Pavia (IT)","","","","","","","","9.53194444444444","45.1222222222222",\N
