"sle","susdat_id"
"106","1957"
"106","9251"
"106","10838"
"106","2712"
"106","5053"
"106","12335"
"106","6730"
"106","10261"
"106","13128"
"106","10262"
"106","10802"
"106","6581"
"106","333"
"106","15352"
"106","15138"
"106","10870"
"106","8943"
"106","291"
"106","465"
"106","14985"
"106","31825"
"106","34582"
"106","2381"
"106","15324"
"106","5535"
"106","95129"
"106","5466"
"106","74027"
"106","4500"
"106","6192"
"106","271"
"106","231"
"106","9754"
"106","359"
"106","1324"
"106","39689"
"106","0"
"106","568"
"106","10366"
"106","10263"
"106","66975"
"106","9946"
"106","10258"
"106","20999"
"106","9400"
"106","8490"
"106","10520"
"106","287"
"106","221"
"106","97124"
"106","42837"
"106","244"
"106","10410"
"106","10892"
"106","419"
"106","3513"
"106","94828"
"106","31817"
"106","294"
"106","318"
"106","8865"
"106","311"
"106","258"
"106","1592"
"106","265"
"106","27"
"106","218"
"106","14580"
"106","226"
"106","5402"
"106","225"
"106","347"
"106","10610"
"106","595"
"106","11700"
"106","327"
"106","9902"
"106","354"
"106","9547"
"106","196"
"106","11738"
"106","330"
"106","338"
"106","134336"
"106","10650"
"106","9441"
"106","10385"
"106","10255"
"106","98759"
"106","314"
"106","197"
"106","73850"
"106","195"
"106","303"
"106","10386"
"106","9793"
"106","408"
"106","32"
"106","31"
"106","10696"
"106","10095"
"106","10059"
"106","1003"
"106","248"
"106","10387"
"106","380"
"106","7748"
"106","10905"
"106","10591"
"106","108407"
"106","8205"
"106","8150"
"106","10141"
"106","212"
"106","14568"
"106","392"
"106","9201"
"106","42221"
"106","10270"
"106","75578"
"106","10516"
"106","281"
"106","417"
"106","280"
"106","411"
"106","10886"
"106","209"
"106","4138"
"106","286"
"106","399"
"106","35"
"106","2397"
"106","9929"
"106","9572"
"106","413"
"106","8578"
"106","8031"
"106","6043"
"106","8464"
"106","10726"
"106","76154"
"106","10635"
"106","93855"
"106","7182"
"106","6688"
"106","219"
"106","10154"
"106","117952"
"106","416"
"106","134337"
"106","71601"
"106","10296"
"106","10909"
"106","171"
"106","9778"
"106","25"
"106","425"
"106","117949"
"106","8822"
"106","388"
"106","2495"
"106","387"
"106","341"
"106","9281"
"106","8999"
"106","313"
"106","6817"
"106","134338"
"106","396"
"106","10515"
"106","398"
"106","472"
"106","9569"
"106","78855"
"106","4472"
"106","74156"
"106","13184"
"106","3673"
"106","6293"
"106","10274"
"106","10495"
"106","13936"
"106","14664"
"106","14667"
"106","3808"
"106","15706"
"106","68187"
"106","14581"
"106","10519"
"106","10646"
"106","8367"
"106","10496"
"106","7456"
"106","22846"
"106","14774"
"106","134339"
"106","6133"
"106","68201"
"106","33538"
"106","1894"
"106","243"
"106","78848"
"106","134340"
"106","299"
"106","15701"
"106","10634"
"106","8895"
"106","134341"
"106","10915"
"106","10444"
"106","250"
"106","236"
"106","23504"
"106","116241"
"106","245"
"106","10521"
"106","10823"
"106","9155"
"106","343"
"106","76969"
"106","331"
"106","9581"
"106","9213"
"106","134342"
"106","8387"
"106","9556"
"106","1378"
"106","295"
"106","8630"
"106","10259"
"106","14820"
"106","9389"
"106","14517"
"106","400"
"106","134343"
"107","8517"
"107","18329"
"107","134344"
"107","94875"
"107","134345"
"107","134346"
"107","134347"
"107","94740"
"107","14203"
"107","120"
"107","10299"
"107","13367"
"107","134348"
"107","214"
"107","134349"
"107","399"
"107","67058"
"107","134350"
"107","0"
"107","11821"
"107","4523"
"107","364"
"107","367"
"107","366"
"107","9389"
"107","365"
"107","10280"
"107","11658"
"107","10411"
"107","22718"
"107","3689"
"107","17650"
"107","17898"
"107","3482"
"107","4795"
"107","17399"
"107","6567"
"107","17958"
"107","73886"
"107","3010"
"107","6865"
"107","134351"
"107","1184"
"107","10316"
"107","10405"
"107","5245"
"107","6968"
"107","67"
"107","4022"
"107","2752"
"107","10343"
"107","252"
"107","9208"
"107","85"
"107","17263"
"107","17320"
"107","10383"
"107","481"
"107","416"
"107","17916"
"107","8687"
"107","2351"
"107","134352"
"107","10385"
"107","10573"
"107","262"
"107","255"
"107","8490"
"107","261"
"107","97091"
"107","46516"
"107","87"
"107","204"
"107","7100"
"107","90"
"107","9094"
"107","99829"
"107","9733"
"107","10595"
"107","66784"
"107","5403"
"107","437"
"107","10425"
"107","6903"
"107","7778"
"107","273"
"107","94550"
"107","1991"
"107","4284"
"107","207"
"107","2769"
"107","25714"
"107","8895"
"107","1540"
"107","251"
"107","8665"
"107","8031"
"107","18334"
"107","32365"
"107","98550"
"107","8833"
"107","100932"
"107","8150"
"107","10408"
"107","112"
"107","5836"
"107","38"
"107","10455"
"107","569"
"107","10263"
"107","567"
"107","97073"
"107","383"
"107","2955"
"107","3374"
"107","339"
"107","3338"
"107","8915"
"107","118"
"107","221"
"107","4525"
"107","3839"
"107","94897"
"107","6900"
"107","8554"
"107","15400"
"107","344"
"107","40"
"107","8266"
"107","487"
"107","212"
"107","134353"
"107","134354"
"107","4756"
"107","237"
"107","9374"
"107","10369"
"107","265"
"107","10382"
"107","9356"
"107","98752"
"107","99446"
"107","382"
"107","134355"
"107","9136"
"107","129"
"107","388"
"107","134356"
"107","203"
"107","393"
"107","131"
"107","10438"
"107","1425"
"107","4054"
"107","68005"
"107","492"
"107","136"
"107","8208"
"107","439"
"107","6931"
"107","10512"
"107","8198"
"107","1953"
"107","389"
"107","145"
"107","8630"
"107","134357"
"107","335"
"107","7539"
"107","8281"
"107","80268"
"107","150"
"107","97267"
"107","98678"
"107","457"
"107","4684"
"107","6025"
"107","153"
"107","7527"
"107","1228"
"107","34000"
"107","22819"
"107","98526"
"107","134358"
"107","2872"
"107","387"
"107","10531"
"107","260"
"107","6563"
"107","161"
"107","216"
"107","9482"
"107","9685"
"107","8540"
"107","444"
"107","419"
"107","68395"
"107","27"
"107","25"
"107","10461"
"107","8001"
"107","34"
"107","43437"
"107","705"
"107","5908"
"107","9793"
"107","3468"
"107","2334"
"107","21377"
"107","6415"
"107","218"
"107","15449"
"107","1696"
"107","535"
"107","249"
"107","333"
"107","166"
"107","412"
"107","6468"
"107","7349"
"107","8420"
"107","1031"
"107","2050"
"107","3145"
"107","345"
"107","10270"
"107","248"
"107","5439"
"107","14997"
"107","15468"
"107","706"
"107","5132"
"107","134359"
"107","7862"
"107","9367"
"107","7154"
"107","5525"
"107","3424"
"107","98611"
"107","5770"
"107","97041"
"107","5364"
"107","10445"
"107","10059"
"107","3871"
"107","14895"
"107","2166"
"107","10446"
"107","115021"
"107","80042"
"107","9098"
"107","10074"
"107","134360"
"107","48"
"107","117949"
"107","6794"
"107","134361"
"107","98749"
"107","63"
"107","134362"
"107","8448"
"107","516"
"107","1635"
"107","2848"
"107","10013"
"107","10424"
"107","10354"
"107","99441"
"107","9963"
"107","7287"
"107","5326"
"107","9421"
"107","528"
"107","523"
"107","529"
"107","9456"
"107","3740"
"107","6420"
"107","97232"
"107","317"
"107","98766"
"107","468"
"107","1690"
"107","8990"
"107","8779"
"107","1562"
"107","1149"
"107","30354"
"107","362"
"107","10883"
"107","7697"
"107","9915"
"107","10885"
"107","518"
"107","10899"
"107","3484"
"107","10289"
"107","10269"
"107","560"
"107","323"
"107","378"
"107","220"
"107","8432"
"107","10887"
"107","443"
"107","390"
"107","134363"
"107","4187"
"107","9603"
"107","8274"
"107","1824"
"107","363"
"107","9068"
"107","17900"
"107","9550"
"107","7188"
"107","244"
"107","115845"
"107","6766"
"107","4014"
"107","8224"
"107","9694"
"107","8736"
"107","9135"
"107","198"
"107","268"
"107","18309"
"107","2711"
"107","7887"
"107","5719"
"107","398"
"107","10416"
"107","293"
"107","258"
"107","294"
"107","7860"
"107","276"
"107","709"
"107","9946"
"107","10258"
"107","7958"
"107","448"
"107","10175"
"107","4130"
"107","7920"
"107","6935"
"107","4673"
"107","8758"
"107","6353"
"107","9050"
"107","338"
"107","6665"
"107","7956"
"107","10256"
"107","6659"
"107","4109"
"107","6523"
"107","211"
"107","10104"
"107","3394"
"107","6933"
"107","14703"
"107","202"
"107","4123"
"107","313"
"107","6858"
"107","531"
"107","4634"
"107","479"
"107","134364"
"107","4565"
"107","7053"
"108","10495"
"108","112892"
"108","82519"
"108","10820"
"108","13411"
"108","10722"
"108","134365"
"108","1148"
"108","0"
"108","9730"
"108","2359"
"108","82068"
"108","82554"
"108","76352"
"108","5883"
"108","93590"
"108","93586"
"108","134366"
"108","134367"
"108","134368"
"108","134369"
"108","113233"
"108","134370"
"108","134371"
"108","93505"
"108","7952"
"108","134372"
"108","3356"
"108","134373"
"108","2329"
"108","20363"
"108","134374"
"108","134375"
"108","134376"
"108","134377"
"108","8308"
"108","104240"
"108","86909"
"108","134378"
"108","10852"
"108","4911"
"108","134379"
"108","5486"
"108","10283"
"108","134380"
"108","73936"
"108","85738"
"108","10861"
"108","134381"
"108","112893"
"108","42731"
"108","2426"
"108","6316"
"108","2962"
"108","6463"
"108","7558"
"108","4126"
"108","9239"
"108","3922"
"108","1038"
"108","20923"
"108","134382"
