"ss_id","ss_abbreviation","ss_description","ss_order","ss_show"
"S1","MASSBANK","NORMAN Compounds in MassBank","1","1"
"S2","STOFFIDENT","HSWT/LfU STOFF-IDENT Database of Water-Relevant Substances","2","1"
"S3","NORMANCT15","NORMAN Collaborative Trial Targets and Suspects","3","1"
"S4","UJIBADE","University of Jaume I","4","1"
"S5","KWRSJERPS","KWR Drinking Water Suspect List","5","1"
"S6","ITNANTIBIOTIC","Antibiotic List: ITN MSCA ANSWER","6","1"
"S7","EAWAGSURF","Eawag Surfactants Suspect List","7","1"
"S8","ATHENSSUS","University of Athens Surfactants and Suspects List","8","1"
"S9","PFASTRIER","PFAS Suspect List: fluorinated substances","9","1"
"S10","SWISSPHARMA","Pharmaceutical List with Consumption Data","10","1"
"S11","SWISSPEST","Swiss Insecticides, Fungicides and TPs","11","1"
"S12","NORMANEWS","NormaNEWS for Retrospective Screening of New Emerging Contaminants","12","1"
"S13","EUCOSMETICS","Combined Inventory of Ingredients Employed in Cosmetic Products (2000) and Revised Inventory (2006)","13","1"
"S14","SFISHFLUORO","PFAS Highly Fluorinated Substances List: KEMI","14","1"
"S15","NORMANPRI","NORMAN Priority List","15","1"
"S16","FRENCHLIST","French Monitoring List","16","1"
"S17","KEMIMARKET","KEMI Market List","17","1"
"S18","TSCASURF","TSCA Surfactants","18","1"
"S19","MZCLOUDDB","mzCloud Compounds","19","1"
"S20","BISPHENOLS","Bisphenols","20","1"
"S21","UATHTARGETS","University of Athens Target List","21","1"
"S22","EPACONS","US EPA Consumer Product Suspect List","22","1"
"S23","EIUBASURF","Surfactant Suspect List from EI and UBA","23","1"
"S24","HUMANNEUROTOX","List of Human Neurotoxins","24","1"
"S25","OECDPFAS","List of PFAS from the OECD","25","1"
"S26","MYCOTOXINS","List of Mycotoxins from AAFC","26","1"
"S27","KWRSJERPS2","Extended Suspect List from Sjerps​ et al​ (KWRSJERPS)","27","1"
"S28","EUBIOCIDES","Biocides from the NORMAN Priority List","28","1"
"S29","PHYTOTOXINS","Toxic Plant Phytotoxin (TPPT) Database","29","1"
"S30","PHENANTIOX","A list of Phenolic Antioxidants from KEMI and NILU","30","1"
"S31","WRTMSD","Wiley Registry of Tandem Mass Spectral Data, MSforID","31","1"
"S32","REACH2017",">68,600 REACH Chemicals","32","1"
"S33","SOLUTIONSMLOS","Chemicals used for Modelling in SOLUTIONS","33","1"
"S34","EXPOSOMEXPL","Biomarkers from Exposome Explorer","34","1"
"S35","INDOORCT16","Indoor Environment Substances from 2016 Collaborative Trial","35","1"
"S36","UBAPMT","Potential Persistent, Mobile and Toxic (PMT) substances","36","1"
"S37","LITMINEDNEURO","Neurotoxicants from literature mining PubMed","37","1"
"S38","SOLNSLMCTPS","SOLUTIONS Predicted Transformation Products by LMC","38","1"
"S39","KEMIWWSUS","Wastewater Suspect List based on Swedish Product Data","39","1"
"S40","ALGALTOX","Algal toxins list from CompTox","40","1"
"S41","CCL4","CCL 4 Chemical Candidate List","41","1"
"S42","HDXNOEX","Hydrogen Deuterium Exchange (HDX) Standard Set","42","1"
"S43","NEUROTOXINS","Neurotoxicants Collection from Public Resources","43","1"
"S44","STATINS","Statins Collection from Public Resources","44","1"
"S45","SYNTHCANNAB","Synthetic Cannabinoids","45","1"
"S46","PFASNTREV19","List of PFAS reported in Non-Target HRMS Studies (Liu et al 2019)","46","1"
"S47","ECHAPLASTICS","A list from the Plastic Additives Initiative Mapping Exercise by ECHA","47","1"
"S48","CCPDBLISTA","Database of Chemicals associated with Plastic Packaging (CPPdb)","48","1"
"S49","CCPDBLISTB","Database of Chemicals associated with Plastic Packaging (CPPdb)","49","1"
"S50","CCSCOMPEND","The Unified Collision Cross Section (CCS) Compendium","50","1"
"S51","WRIGCHRMS","GC-HRMS target list of WRI","51","1"
"S52","THSMOKE","Thirdhand Smoke (THS) Compounds","52","1"
"S53","UFZWANATARG","Target Compounds from UFZ WANA ","53","1"
"S54","EFSAPRI","European Food Safety Authority Priority Substances","54","1"
"S55","ZINC15PHARMA",">8600 Pharmaceuticals from ZINC15","55","1"
"S56","UOATARGPHARMA","Target Pharmaceutical/Drug List from University of Athens","56","1"
"S57","GREEKPHARMA","Suspect Pharmaceuticals from the National Organization of Medicine, Greece","57","1"
"S58","PSYCHOCANNAB","Synthetic Cannabinoids and Psychoactive Compounds","58","1"
"S59","NPINESCT","Natural Product Insecticides","59","1"
"S60","SWISSPEST19","Swiss Pesticides and Metabolites from Kiefer et al 2019","60","1"
"S61","UJICCSLIB","Collision Cross Section (CCS) Library from UJI","61","1"
"S62","NORMANEWS2","NormaNEWS2: Retrospective Screening of New Emerging Contaminants","62","1"
"S63","UBADWGW","Substances Detected in Drinking (DW) or Groundwater (GW)","63","1"
"S64","NATOXAQ","NaToxAq: Natural Toxins and Drinking Water Quality - From Source to Tap","64","1"
"S65","UATHTARGETSGC","University of Athens GC-APCI-HRMS Target List","65","1"
"S66","EAWAGTPS","Parent-Transformation Product Pairs from Eawag","66","1"
"S67","TBUTYLPHENOLS","List of tert-butyl phenols from KEMI","67","1"
