"level","legacy_id","parent_level","parent_legacy_id","name"
"2","74","1","5","Biocidal product active substance, Europe Evaluation"
"2","75","1","5","Biocidal product co-formulant"
"2","73","1","5","Biocide product active substance"
"2","76","1","5","Disinfectants"
"2","77","1","5","Pesticides"
"2","78","1","5","Other"
"2","141","1","14","Disinfection by-products"
"2","142","1","14","Other"
"2","139","1","13","Designer drugs"
"2","137","1","13","Opiates, opioids and metabolites"
"2","138","1","13","Sympathomimetics"
"2","136","1","13","Synthetic cannabinoids and psychoactive compounds"
"2","140","1","13","Other"
"2","154","1","8","Brominated diphenylethers"
"2","121","1","8","Brominated flame retardants"
"2","123","1","8","Chlorine containing flame retardants"
"2","153","1","8","Organophosphorous"
"2","122","1","8","Phosphorous containing flame retardants"
"2","124","1","8","Other"
"2","143","1","16","Antioxidants"
"2","144","1","16","Artificial sweeteners"
"2","146","1","16","Foam stabilisers"
"2","145","1","16","Humectants"
"2","147","1","16","Other"
"2","64","1","4","Antifouling afgents"
"2","70","1","4","Benzothiazoles"
"2","65","1","4","Complexing agents"
"2","60","1","4","Corrosion inhibitors"
"2","71","1","4","Gasoline additives"
"2","66","1","4","Lubricants"
"2","61","1","4","Phenolic antioxidants"
"2","69","1","4","Phenols"
"2","68","1","4","Polyaromatic hydrocarbons"
"2","63","1","4","Polymer stabilisers"
"2","67","1","4","Precursors synthesis of pigments, intermediates for  dyes, pigments"
"2","62","1","4","Tert-butyl phenols"
"2","72","1","4","Other"
"2","134","1","11","Algal toxins"
"2","152","1","11","Cyanobacteria"
"2","132","1","11","Mycotoxins"
"2","133","1","11","Phytotoxins"
"2","135","1","11","Other"
"2","106","1","7","Fluorotelomer acrylates"
"2","119","1","7","Fluorotelomer alcohols"
"2","110","1","7","Fluorotelomer carboxylic acid (FTCA)"
"2","114","1","7","Fluorotelomer sulfonates"
"2","111","1","7","Fluorotelomer sulfonic acid (FTSA)"
"2","109","1","7","N-Heterocyclic perfluoroalkyls"
"2","89","1","7","Perfluoro alcohols and phenols"
"2","100","1","7","Perfluoro alkanes"
"2","96","1","7","Perfluoro alkenes"
"2","115","1","7","Perfluoroalkane sulfonamides (FASA)"
"2","113","1","7","Perfluoroalkane sulfonamidoethanols (FASE)"
"2","118","1","7","Perfluoroalkane sulfonyl fluoride (PASF)"
"2","112","1","7","Perfluoroalkyl acids (PFAA)"
"2","93","1","7","Perfluoroalkyl aldehydes"
"2","98","1","7","Perfluoroalkyl amides"
"2","94","1","7","Perfluoroalkyl amines"
"2","90","1","7","Perfluoroalkyl carboxylic acids"
"2","91","1","7","Perfluoroalkyl esters"
"2","101","1","7","Perfluoroalkyl ethers"
"2","108","1","7","Perfluoroalkyl glycols"
"2","95","1","7","Perfluoroalkyl ketones"
"2","104","1","7","Perfluoroalkyl oxiranes"
"2","97","1","7","Perfluoroalkyl phosphinic acids"
"2","99","1","7","Perfluoroalkyl silanes"
"2","103","1","7","Perfluoroalkyl stannanes"
"2","92","1","7","Perfluoroalkyl sulphonic acids"
"2","102","1","7","Perfluoroalkyl thioethers"
"2","105","1","7","Perfluoroalkyl triazines"
"2","88","1","7","Perfluoroalkylated substances"
"2","117","1","7","Perfluoroalkylcarboxylic acids (PFCA)"
"2","116","1","7","Perfluoroalkylsulphonic acids (PFSA)"
"2","107","1","7","Perfluorosulfonyls"
"2","120","1","7","Other"
"2","82","1","6","Antimicrobial agents"
"2","79","1","6","Antioxidants"
"2","81","1","6","Fragrances"
"2","84","1","6","Insect repellents"
"2","83","1","6","Moth repellents"
"2","86","1","6","Parabens"
"2","85","1","6","Siloxanes"
"2","80","1","6","Sunscreen agents"
"2","87","1","6","Other"
"2","46","1","2","Anaesthetic"
"2","36","1","2","Analgesic"
"2","23","1","2","Anorexic"
"2","24","1","2","Anthelmintic"
"2","22","1","2","Anti-inflammatory"
"2","43","1","2","Antibacterial"
"2","17","1","2","Antibiotics"
"2","37","1","2","Anticonvulsant"
"2","25","1","2","Antidiabetic"
"2","44","1","2","Antiemetic"
"2","26","1","2","Antihistaminic"
"2","27","1","2","Antihypertensive"
"2","39","1","2","Antimicrobial agents"
"2","38","1","2","Antineoplastic"
"2","41","1","2","Antipruritic"
"2","18","1","2","Antipsychotics"
"2","47","1","2","Antispasmodic - muscolotropic"
"2","28","1","2","Antiulcerative"
"2","29","1","2","Antiviral"
"2","30","1","2","Anxiolytic"
"2","31","1","2","Beta-Blockers"
"2","32","1","2","Blood viscosity agents"
"2","33","1","2","Bronchodilators"
"2","34","1","2","Diuretic"
"2","16","1","2","Eco-label"
"2","13","1","2","Human medicinal product active substance"
"2","35","1","2","Lipid regulators"
"2","42","1","2","Muscle relaxant"
"2","50","1","2","NSAIDs"
"2","20","1","2","Pharmaceuticals transformation products"
"2","40","1","2","Psychiatric drugs"
"2","45","1","2","Sedatives, hypnotics"
"2","48","1","2","Steroids and hormones"
"2","19","1","2","Stimulants"
"2","15","1","2","Unknown, not assigned to any enforcement"
"2","14","1","2","Veterinary medicinal product active substance"
"2","49","1","2","X-ray contrast media"
"2","21","1","2","Other"
"2","148","1","1","Acaricides"
"2","149","1","1","Bactericides"
"2","3","1","1","Fungicides"
"2","150","1","1","Haulm destructors"
"2","1","1","1","Herbicides"
"2","2","1","1","Insecticides"
"2","4","1","1","Molluscicides"
"2","151","1","1","Moss killers"
"2","5","1","1","Plant growth regulators"
"2","9","1","1","Plant protection product active substance"
"2","11","1","1","Plant protection product co-formulant"
"2","12","1","1","Plant protection product transformation products"
"2","10","1","1","Plant protection product, EU evaluation"
"2","7","1","1","Rodenticides"
"2","6","1","1","Soil sterilants incl. nematicides"
"2","8","1","1","Other"
"2","125","1","9","Bisphenols"
"2","126","1","9","Phthalates"
"2","127","1","9","Technical additives"
"2","128","1","9","Other"
"2","56","1","3","CLH"
"2","51","1","3","DEv"
"2","53","1","3","ED"
"2","54","1","3","PBT"
"2","58","1","3","Restriction"
"2","55","1","3","RMOA"
"2","52","1","3","SEv"
"2","57","1","3","SVHC"
"2","59","1","3","Other"
"2","130","1","10","Antifoaming agents"
"2","129","1","10","Detergents"
"2","131","1","10","Other"
"3","12","2","17","Aminoacid derivatives"
"3","13","2","17","Aminocoumarins"
"3","1","2","17","Aminoglycosides"
"3","7","2","17","b-lactams"
"3","2","2","17","b-lactams/Cephalosporins"
"3","3","2","17","b-lactams/Penicillins"
"3","4","2","17","b-lactams/Penicillins/Carbapenems"
"3","5","2","17","Chloramphenicoles"
"3","6","2","17","Diaminopyrimidines"
"3","15","2","17","Imidazoles"
"3","14","2","17","Imidazoles/Nitroimidazoles"
"3","8","2","17","Lincosamides"
"3","9","2","17","Macrolides"
"3","10","2","17","Macrolides/Ansamycins"
"3","16","2","17","Nitrofurans"
"3","11","2","17","Nucleosides"
"3","17","2","17","Oxazolidinones"
"3","19","2","17","Polyether ionophores"
"3","20","2","17","Polypeptides"
"3","21","2","17","Quinolinols"
"3","22","2","17","Quinolones"
"3","24","2","17","Quinolones/Anthraquinone"
"3","23","2","17","Quinolones/Fluoroquinolones"
"3","25","2","17","Steroids"
"3","26","2","17","Sulfonamides"
"3","18","2","17","Tetracyclic diterpenes"
"3","27","2","17","Tetracyclines"
"3","28","2","17","Other"
